Train,Series,Exchanger,Cold_flow,Cold_in,Cold_out,Hot_flow,Hot_in,Hot_out,min_flow,max_flow,CP_gain,CP_intercept
1,1,E2501,25F123.PV,25T201.PV,25T202.PV,25F158.PV,25T289.PV,25T290.PV,1000,,0.0041,1.8421
1,2,E2502,25F123.PV,25T202.PV,25T203.PV,25F010.PV,25T293.PV,25T294.PV,,,,
2,1,E2503,25F142.PV,25T201.PV,25T204.PV,25F158.PV,25T290.PV,25T291.PV,1000,,,
2,2,E2504,25F142.PV,25T204.PV,25T205.PV,25F030.PV,25T338.PV,25T314.PV,,,,
3,1,E2505,25F122.PV,25T201.PV,25T206.PV,25F052.PV,25T283.PV,25T012.PV,,,,
3,2,E2506,25F122.PV,25T206.PV,25T207.PV,25F005.PV,25T423.PV,25T344.PV,1000,,,
4,1,E2507,25F121.PV,25T201.PV,25T208.PV,25F008.PV,25T278.PV,25T021.PV,,,,
4,2,E2509,25F121.PV,25T208.PV,25T209.PV,25F317.PV,25T427.PV,25T428.PV,1000,,,
