Train,Series,Exchanger,Cold_flow,Cold_in,Cold_out,Hot_flow,Hot_in,Hot_out,min_flow,max_flow,CP_gain,CP_intercept
1,1,E2541,25F129.PV,25T224.PV,25T357.PV,25F008.PV,25T225.PV,25T277.PV,1000,,0.0041,1.8421
2,1,E2542,25F130.PV,25T224.PV,25T227.PV,25F321.PV,25T420.PV,25T422.PV,850,,,
3,1,E2543,25F132.PV,25t228.PV,25T477.PV,25F002.PV,25T408.PV,25T409.PV,4200,,,
