Train,Series,Exchanger,Cold_flow,Cold_in,Cold_out,Hot_flow,Hot_in,Hot_out,min_flow,max_flow,CP_gain,CP_intercept
1,1,E1502,15F109.PV,15T200.PV,15T001.PV,15F001.PV,15T133.PV,15T219.PV,350,,0.0038,1.7321
2,1,E1503,15F083.PV,15T200.PV,15T012.PV,15F004.PV,15T157.PV,15T014.PV,2200,,,
3,1,E1504,15F003.PV,15T200.PV,15T009.PV,15F166.PV,15T123.PV,15T010.PV,900,,,
